Application mode,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
8,1,0,1,1,0,20,0,0,0,0,0,0,1
6,1,0,0,1,0,19,6,6,14,6,6,13.6666666666666,3
1,1,0,0,1,0,19,6,0,0,6,0,0,1
8,1,0,1,0,0,20,6,6,13.4285714285714,6,5,12.4,3
12,0,0,1,0,0,45,6,5,12.3333333333333,6,6,13,3
12,0,1,1,1,0,50,5,5,11.8571428571428,5,5,11.5,3
1,1,0,1,0,1,18,7,7,13.3,8,8,14.345,3
9,1,0,0,1,0,22,5,0,0,5,0,0,1
1,0,0,1,0,1,21,6,6,13.875,6,6,14.1428571428571,3
1,1,1,0,0,0,18,6,5,11.4,6,2,13.5,1
1,1,0,1,0,0,18,6,6,12.3333333333333,6,5,14.2,3
1,1,0,1,0,1,18,8,7,13.2142857142857,8,7,13.2142857142857,3
1,1,0,1,0,0,19,6,0,0,6,0,0,1
17,1,0,1,0,1,21,6,6,10.5714285714285,6,5,11,3
1,1,0,1,0,1,18,5,4,13.25,5,5,12,3
1,1,0,1,0,0,20,6,5,13.2,6,0,0,1
9,1,0,1,0,0,18,6,1,12,6,2,11,2
8,1,0,1,0,0,18,7,7,13.30625,8,8,14.545,3
1,1,0,1,0,0,20,5,4,12.5,5,4,12.25,3
1,1,0,1,0,0,18,7,6,11.6666666666666,7,6,13.5,2
1,0,0,1,0,1,21,0,0,0,0,0,0,3
9,1,0,1,0,0,20,7,7,11.4375,8,8,11.425,2
1,1,0,1,0,0,18,8,7,12.8571428571428,8,7,12.8571428571428,3
1,1,0,1,0,1,19,6,6,13.375,6,6,12.2857142857142,3
1,0,0,1,0,0,19,7,6,13.2966666666666,8,7,14.1142857142857,3
1,1,1,1,0,1,18,6,5,11.6,6,4,11,2
8,1,0,1,0,0,21,6,6,11.375,6,6,13.2857142857142,3
1,1,0,1,0,0,18,5,5,12.6666666666666,5,4,13,2
1,1,0,1,0,0,20,5,5,12,5,5,12.3333333333333,3
8,1,0,1,1,0,19,7,6,12.9333333333333,7,6,13.7166666666666,2
15,0,0,1,1,0,21,6,5,11.8571428571428,6,5,10.5714285714285,2
16,1,0,1,1,0,20,6,6,12.8333333333333,6,4,13.4,3
1,0,0,0,1,0,18,5,3,11.3333333333333,5,2,13.5,2
9,1,0,1,0,0,19,6,6,12.6666666666666,6,6,14.375,3
1,0,0,1,1,0,34,5,5,12.4,5,5,13.4285714285714,3
12,0,1,0,1,0,37,7,0,0,7,1,10,1
12,1,0,1,1,0,43,5,0,0,5,0,0,1
14,0,0,1,0,0,55,5,1,10,5,2,12,1
12,1,0,1,0,0,39,5,5,11,5,5,11.6,3
15,0,1,0,0,0,20,6,3,11.6666666666666,6,3,12,1
1,0,1,1,0,0,18,6,4,12.75,5,0,0,1
1,1,0,1,0,0,22,5,5,14.8,5,5,15.8,3
1,1,0,1,0,0,22,7,5,13.928,8,7,14.3428571428571,3
8,0,0,0,0,0,20,6,4,13,6,5,13.8,1
12,0,0,1,0,0,29,5,0,0,5,0,0,1
8,0,0,1,0,0,24,5,2,11.5,5,3,14.3333333333333,2
8,1,0,1,0,0,18,6,6,11.6666666666666,6,5,13.2,3
8,1,0,1,0,1,22,7,6,13.5166666666666,8,7,13.7714285714285,3
15,0,0,1,0,1,21,6,6,11.5,6,6,13.2857142857142,3
1,0,0,1,0,1,19,6,5,12.3333333333333,6,6,12.8333333333333,3
12,0,0,1,0,1,24,6,6,13.6666666666666,6,6,14.1666666666666,3
1,1,0,1,0,1,19,8,6,11.8333333333333,8,6,11.8333333333333,2
1,1,0,1,0,1,20,6,4,14,6,3,11,2
1,0,0,1,0,0,19,5,5,14.7142857142857,5,5,15.8,3
